avtor,naslov,ocena_cista
J.G. Ballard,4,3.62
J.G. Farrell,1,3.93
J.K. Rowling,1,4.47
J.L. Carr,3,3.9633333333333334
J.M. Barrie,1,4.03
J.M. Coetzee,2,3.895
J.P. Donleavy,1,3.72
J.R.R. Tolkien,2,4.425
Jack Kerouac,1,3.61
Jack London,2,4.2
Jacqueline Susann,1,3.87
Jakub Lasak(Goodreads Author),1,4.45
James  Jones,1,4.08
James A. Michener,1,4.04
James Baldwin,2,4.199999999999999
James Dickey,1,3.89
James Ellroy,3,4.026666666666666
James Hadley Chase,1,3.77
James Hogg,1,3.67
James Hynes,1,3.48
James Joyce,3,3.6966666666666668
James Kelman,1,3.6
James Lee Burke,2,4.045
James M. Cain,2,3.905
James Salter,3,3.92
Jane Austen,6,4.05
Jane Bowles,1,3.57
Jane Carruth(Adapted By),1,4.03
Jane Smiley(Goodreads Author),2,3.6500000000000004
Jaroslav Hašek,1,4.09
Javier Marías,1,4.02
Jay McInerney(Goodreads Author),1,3.81
Jean Cocteau,1,3.7
Jean Rhys,1,3.59
Jeanette Winterson,2,3.92
Jed Mercurio,1,3.78
Jeff Noon,1,4.04
Jeffrey Eugenides,2,3.91
Jerome K. Jerome,1,3.83
Jim Crace,2,3.7
Jim Thompson,1,3.85
Joan Didion,1,3.9
Joanna Russ,1,3.46
Joe Haldeman,1,4.14
Johann David Wyss,1,3.91
Johann Wolfgang von Goethe,1,3.7
John  Harris,1,4.57
John Berger,1,3.72
John Braine,1,3.69
John Buchan,2,3.66
John Cheever,1,3.75
John Cowper Powys,1,4.23
John Dickson Carr,1,3.75
John Dos Passos,2,3.835
John Fowles,2,3.965
John Galsworthy,1,4.0
John Grisham(Goodreads Author),2,3.925
John Irving(Goodreads Author),1,4.24
John Kennedy Toole,1,3.89
John Lanchester,1,3.74
John McGahern,1,3.96
John Mortimer,2,3.42
John Steinbeck,3,4.126666666666667
John Updike,5,3.6399999999999997
John Wyndham,2,3.955
John le Carré,3,3.9933333333333336
Johnston McCulley,1,4.0
Jonathan Coe(Goodreads Author),1,4.11
Jonathan Franzen,1,3.85
Jonathan Lethem,1,3.86
Jonathan Safran Foer(Goodreads Author),1,3.89
Jonathan Swift,2,3.5149999999999997
Joseph Conrad,6,3.6633333333333336
Joseph Heller,1,3.99
Joseph Roth,1,4.11
Josephine Tey,1,3.89
José Saramago,1,4.18
Joyce Cary,2,3.72
João Guimarães Rosa,1,4.62
Jules Verne,2,3.9000000000000004
Julian Barnes,2,3.76
Julian Maclaren-Ross,1,4.0
Julie Doucet,1,3.83
Jun'ichirō Tanizaki,1,3.45
Kate Atkinson,1,3.98
Kate Chopin,1,3.69
Kazuo Ishiguro(Goodreads Author),2,3.8649999999999998
Keith Waterhouse,1,3.71
Ken Kesey,1,4.2
Ken MacLeod,1,3.56
Kenneth Grahame,1,4.02
Kenzaburō Ōe,1,3.84
Khaled Hosseini(Goodreads Author),2,4.41
Kilgore Trout(Pseudonym),1,3.75
Kim Stanley Robinson,1,3.77
Kingsley Amis,1,3.74
Knut Hamsun,1,4.03
Kurban Said,1,3.92
Kurt Vonnegut Jr.,3,4.103333333333333
Kōbō Abe,1,3.73
L.P. Hartley,2,3.9099999999999997
Lao She,1,3.92
Larry McMurtry,1,4.6
Larry Niven,1,3.93
Laurence Sterne,2,3.51
Laurie Lee,1,3.91
Lawrence Durrell,1,3.84
Len Deighton,2,4.05
Leo Tolstoy,2,4.140000000000001
Leonardo Sciascia,1,3.82
Leonora Carrington,1,3.98
Leslie Thomas,1,3.76
Lewis Carroll,2,4.029999999999999
Lewis Grassic Gibbon,1,4.01
Lionel Shriver(Goodreads Author),1,4.08
Lois Lowry(Goodreads Author),1,4.12
Louis-Ferdinand Céline,1,4.18
Louisa May Alcott,1,4.18
Lynne Reid Banks,1,3.96
M. John Harrison,1,3.61
M.M. Kaye,1,4.2
MacKinlay Kantor,1,4.1
Machado de Assis,2,4.295
Madame de La Fayette,1,3.35
Magnus Mills,1,3.87
Maj Sjöwall,1,3.99
Malcolm Bradbury,1,3.61
Malcolm Lowry,1,3.76
Marcel Proust,2,4.25
Margaret Atwood(Goodreads Author),3,4.023333333333333
Margaret Drabble,1,3.9
Margaret Mitchell,1,4.31
Marghanita Laski,1,3.59
Maria Edgeworth,2,3.2750000000000004
Marie Darrieussecq,1,3.46
Marilynne Robinson,1,3.85
Mario Puzo,1,4.4
Mark Haddon,1,3.89
Mark Twain,5,3.88
Mark Z. Danielewski(Goodreads Author),1,4.09
Martin Amis,3,3.6533333333333338
Martin Cruz Smith,1,4.04
Mary Elizabeth Braddon,1,3.79
Mary McCarthy,1,3.68
Mary Wollstonecraft Shelley,1,3.92
Matthew Gregory Lewis,1,3.87
Max Beerbohm,1,3.52
Maxim Gorky,1,3.97
May Sinclair,1,3.73
Mervyn Peake,1,3.92
Michael    Gilbert,1,4.05
Michael Chabon,1,4.19
Michael Crichton,2,4.025
Michael Dibdin,5,3.7079999999999997
Michael Frayn,2,3.59
Michael Frederick Green,1,3.72
Michael G. Coney,1,4.04
Michael Innes,1,3.53
Michael Marshall Smith(Goodreads Author),1,4.22
Michael Moorcock,1,3.76
Michael Ondaatje,1,3.86
Michel Faber,1,3.75
Michel Houellebecq,1,3.8
Miguel de Cervantes Saavedra,1,3.91
Miguel de Unamuno,1,3.47
Mike Stocks,1,3.43
Mikhail Bulgakov,1,4.28
Miklós Bánffy,1,4.2
Milan Kundera,2,4.02
Molly Keane,1,3.87
Mordecai Richler,1,3.98
Morten Kvistgaard(Goodreads Author),1,4.88
Mrs. Henry Wood,1,3.74
Mulk Raj Anand,1,3.74
Muriel Spark,5,3.71
Nadine Gordimer,1,3.51
Naguib Mahfouz,1,4.2
Nancy Mitford,3,3.953333333333333
Nathanael West,1,3.69
Nathaniel Hawthorne,2,3.44
Neal Stephenson(Goodreads Author),2,4.12
Neil Gaiman(Goodreads Author),1,4.1
Nella Larsen,1,3.91
Nelson Algren,1,3.86
Nevil Shute,1,4.16
Nicholas  Blake,1,3.75
Nicholas Monsarrat,1,4.24
Nicholson Baker(Goodreads Author),1,3.68
Nick Hornby,1,3.89
Nicola Barker,1,3.65
Nigel Balchin,1,3.85
Nigel Williams,1,3.46
Nikolai Gogol,1,3.98
Nikos Kazantzakis,1,4.02
Nina Bawden,1,3.92
Noel Streatfeild,1,4.07
Norman Mailer,1,3.95
Octavia E. Butler,1,4.31
Olaf Stapledon,1,3.9
Oliver Goldsmith,1,3.46
Olivia Manning,1,4.17
Orhan Pamuk,1,3.87
Oscar Wilde,1,4.13
Ousmane Sembène,1,3.99
Owen Wister,1,3.92
P.D. James,3,3.8633333333333333
P.G. Wodehouse,6,4.196666666666666
Pamela Kent(Pseudonym),1,2.75
Pat Barker,1,4.01
Patricia Daniels Cornwell,1,4.02
Patricia Highsmith,2,3.84
Patrick Hamilton,2,4.1
Patrick McCabe,1,3.83
Patrick O'Brian,1,4.06
Patrick Süskind,1,4.04
Patrick White,2,3.875
Paul Auster,2,3.88
Paul Bowles,1,3.88
Paul Gallico,1,4.15
Paul Hornschemeier,1,3.28
Paul Scott,1,3.89
Penelope Fitzgerald,1,3.44
Peter Carey,3,3.78
Peter De Vries,1,3.74
Peter Høeg,1,3.73
Philip K. Dick,2,3.84
Philip Larkin,1,3.75
Philip Pullman,1,4.29
Philip Roth,3,3.856666666666667
Phillip Leighton-Daly,1,4.87
Pier Paolo Pasolini,1,3.59
Pierre Choderlos de Laclos,1,4.05
Piers Paul Read,1,3.89
Poppy Z. Brite(Goodreads Author),1,3.9
Primo Levi,1,4.23
R.D. Blackmore,1,3.73
R.J. Ellory,1,3.85
R.K. Narayan,1,3.64
Rabindranath Tagore,1,3.84
Radclyffe Hall,1,3.77
Rafael Sabatini,2,4.14
Ralph Ellison,1,3.92
Ramsey Campbell,1,3.56
Randall Jarrell,1,3.44
Rawi Hage,1,3.78
Ray Bradbury,1,3.97
Raymond Briggs,1,4.29
Raymond Chandler,2,4.065
Raymond Queneau,1,3.64
Rebecca West,2,3.69
Reginald Hill,1,4.02
René Goscinny,1,4.18
Rex Stout,1,4.09
Richard Aldington,1,4.02
Richard Condon,1,4.08
Richard Ford,2,3.775
Richard Hughes,1,3.76
Richard Jefferies,1,3.08
Richard Llewellyn,1,4.21
Richard Matheson,2,4.025
Richard Price,1,3.73
Richard Wright,1,4.05
Richard Yates,1,3.94
Richmal Crompton,1,4.08
Rita Mae Brown,1,3.91
Robert   Harris(Goodreads Author),2,3.97
Robert  Stone,1,3.86
Robert A. Heinlein,1,3.92
Robert Graves,1,4.03
Robert Louis Stevenson,3,3.8233333333333337
Robert Ludlum,1,4.05
Robert M. Pirsig,1,3.78
Robert Musil,1,4.18
Robert Plunket,1,3.78
Robert Smith Surtees,1,3.92
Robert Tressell,1,4.04
Robert Walser,1,3.87
Robert Westall,1,3.94
Roberto Bolaño,1,4.18
Roddy Doyle,1,3.92
Rohinton Mistry,2,4.21
Ron Butlin(Goodreads Author),1,3.87
Ronald Firbank,1,3.02
Ronald Searle,1,3.54
Rosamond Lehmann,3,3.796666666666667
Rose Macaulay,1,3.68
Rose Tremain,1,3.95
Rudolf Erich Raspe,1,3.79
Rudyard Kipling,1,3.7
Rupert Thomson,1,3.64
Russell Hoban,1,4.02
