naslov,avtor,ocena_raw,povezava
Flowers for Algernon,Daniel Keyes,"4.25 avg rating — 832,376 ratings",https://www.goodreads.com/book/show/18373.Flowers_for_Algernon
Invisible Man,Ralph Ellison,"3.92 avg rating — 205,897 ratings",https://www.goodreads.com/book/show/16981.Invisible_Man
Jonathan Strange & Mr Norrell,Susanna Clarke,"3.88 avg rating — 261,317 ratings",https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
The Prime of Miss Jean Brodie,Muriel Spark,"3.69 avg rating — 63,232 ratings",https://www.goodreads.com/book/show/517188.The_Prime_of_Miss_Jean_Brodie
The Three Musketeers,Alexandre Dumas,"4.10 avg rating — 353,304 ratings",https://www.goodreads.com/book/show/7190.The_Three_Musketeers
Treasure Island,Robert Louis Stevenson,"3.85 avg rating — 552,292 ratings",https://www.goodreads.com/book/show/295.Treasure_Island
A Prayer for Owen Meany,John Irving(Goodreads Author),"4.24 avg rating — 342,837 ratings",https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany
A Tree Grows in Brooklyn,Betty  Smith,"4.30 avg rating — 528,796 ratings",https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
The War of the Worlds,H.G. Wells,"3.83 avg rating — 359,206 ratings",https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
The God of Small Things,Arundhati Roy(Goodreads Author),"3.96 avg rating — 337,990 ratings",https://www.goodreads.com/book/show/9777.The_God_of_Small_Things
The Heart Is a Lonely Hunter,Carson McCullers,"3.99 avg rating — 123,061 ratings",https://www.goodreads.com/book/show/37380.The_Heart_Is_a_Lonely_Hunter
The Scarlet Pimpernel,Emmuska Orczy,"4.07 avg rating — 143,700 ratings",https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel
Possession,A.S. Byatt,"3.90 avg rating — 86,014 ratings",https://www.goodreads.com/book/show/41219.Possession
North and South,Elizabeth Gaskell,"4.15 avg rating — 188,365 ratings",https://www.goodreads.com/book/show/156538.North_and_South
Beloved,Toni Morrison,"3.99 avg rating — 509,176 ratings",https://www.goodreads.com/book/show/6149.Beloved
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"4.01 avg rating — 373,449 ratings",https://www.goodreads.com/book/show/59920.A_Wizard_of_Earthsea
The Blind Assassin,Margaret Atwood(Goodreads Author),"3.96 avg rating — 166,543 ratings",https://www.goodreads.com/book/show/78433.The_Blind_Assassin
A Passage to India,E.M. Forster,"3.68 avg rating — 87,381 ratings",https://www.goodreads.com/book/show/45195.A_Passage_to_India
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,"3.88 avg rating — 184,196 ratings",https://www.goodreads.com/book/show/608474.The_Sign_of_Four
Les Liaisons dangereuses,Pierre Choderlos de Laclos,"4.05 avg rating — 60,537 ratings",https://www.goodreads.com/book/show/49540.Les_Liaisons_dangereuses
Middlemarch,George Eliot,"4.05 avg rating — 185,574 ratings",https://www.goodreads.com/book/show/19089.Middlemarch
Breakfast at Tiffany’s and Three Stories,Truman Capote,"3.85 avg rating — 255,967 ratings",https://www.goodreads.com/book/show/251688.Breakfast_at_Tiffany_s_and_Three_Stories
Stranger in a Strange Land,Robert A. Heinlein,"3.92 avg rating — 329,887 ratings",https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
Tess of the D’Urbervilles,Thomas Hardy,"3.85 avg rating — 307,855 ratings",https://www.goodreads.com/book/show/32261.Tess_of_the_D_Urbervilles
I Capture the Castle,Dodie Smith,"3.98 avg rating — 118,148 ratings",https://www.goodreads.com/book/show/31122.I_Capture_the_Castle
"The Sword in the Stone (Once and Future King, #1)",T.H. White,"3.88 avg rating — 28,980 ratings",https://www.goodreads.com/book/show/316845.The_Sword_in_the_Stone
"Tinker, Tailor, Soldier, Spy",John le Carré,"4.06 avg rating — 109,246 ratings",https://www.goodreads.com/book/show/18989.Tinker_Tailor_Soldier_Spy
Black Beauty,Anna Sewell,"4.01 avg rating — 302,955 ratings",https://www.goodreads.com/book/show/3685.Black_Beauty
Fathers and Sons,Ivan Turgenev,"4.01 avg rating — 105,025 ratings",https://www.goodreads.com/book/show/19117.Fathers_and_Sons
"American Gods (American Gods, #1)",Neil Gaiman(Goodreads Author),"4.10 avg rating — 1,001,794 ratings",https://www.goodreads.com/book/show/4407.American_Gods
The Wind-Up Bird Chronicle,Haruki Murakami,"4.14 avg rating — 323,192 ratings",https://www.goodreads.com/book/show/11275.The_Wind_Up_Bird_Chronicle
The Leopard,Giuseppe Tomasi di Lampedusa,"4.01 avg rating — 50,242 ratings",https://www.goodreads.com/book/show/625094.The_Leopard
For Whom the Bell Tolls,Ernest Hemingway,"3.99 avg rating — 325,356 ratings",https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls
Cloud Atlas,David  Mitchell,"4.01 avg rating — 273,776 ratings",https://www.goodreads.com/book/show/49628.Cloud_Atlas
"Cry, the Beloved Country",Alan Paton,"3.93 avg rating — 80,820 ratings",https://www.goodreads.com/book/show/6150.Cry_the_Beloved_Country
Schindler's Ark,Thomas Keneally,"4.34 avg rating — 167,205 ratings",https://www.goodreads.com/book/show/3070439-schindler-s-ark
Childhood’s End,Arthur C. Clarke,"4.12 avg rating — 177,592 ratings",https://www.goodreads.com/book/show/414999.Childhood_s_End
Foucault’s Pendulum,Umberto Eco,"3.91 avg rating — 76,166 ratings",https://www.goodreads.com/book/show/17841.Foucault_s_Pendulum
The End of the Affair,Graham Greene,"3.90 avg rating — 73,909 ratings",https://www.goodreads.com/book/show/29641.The_End_of_the_Affair
If on a Winter's Night a Traveler,Italo Calvino,"4.01 avg rating — 116,029 ratings",https://www.goodreads.com/book/show/6895739-if-on-a-winter-s-night-a-traveler
The Thin Man,Dashiell Hammett,"3.89 avg rating — 39,289 ratings",https://www.goodreads.com/book/show/80616.The_Thin_Man
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"3.94 avg rating — 172,565 ratings",https://www.goodreads.com/book/show/2052.The_Big_Sleep
The Complete Maus,Art Spiegelman,"4.58 avg rating — 262,956 ratings",https://www.goodreads.com/book/show/15195.The_Complete_Maus
Jude the Obscure,Thomas Hardy,"3.84 avg rating — 77,318 ratings",https://www.goodreads.com/book/show/50798.Jude_the_Obscure
"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",Lewis Carroll,"really liked it4.00 avg rating — 145,447 ratings",https://www.goodreads.com/book/show/83346.Through_the_Looking_Glass_and_What_Alice_Found_There
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,"3.99 avg rating — 122,975 ratings",https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz
"The Daughter of Time (Inspector Alan Grant, #5)",Josephine Tey,"3.89 avg rating — 40,227 ratings",https://www.goodreads.com/book/show/77661.The_Daughter_of_Time
To the Lighthouse,Virginia Woolf,"3.81 avg rating — 223,537 ratings",https://www.goodreads.com/book/show/59716.To_the_Lighthouse
Cold Comfort Farm,Stella Gibbons,"3.88 avg rating — 56,314 ratings",https://www.goodreads.com/book/show/92780.Cold_Comfort_Farm
"My Family and Other Animals (Corfu Trilogy, #1)",Gerald Durrell,"4.16 avg rating — 65,850 ratings",https://www.goodreads.com/book/show/48132.My_Family_and_Other_Animals
Their Eyes Were Watching God,Zora Neale Hurston,"3.99 avg rating — 397,968 ratings",https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God
Fight Club,Chuck Palahniuk(Goodreads Author),"4.18 avg rating — 659,690 ratings",https://www.goodreads.com/book/show/5759.Fight_Club
My Name Is Red,Orhan Pamuk,"3.87 avg rating — 62,840 ratings",https://www.goodreads.com/book/show/2517.My_Name_Is_Red
A Thousand Splendid Suns,Khaled Hosseini(Goodreads Author),"4.46 avg rating — 1,799,340 ratings",https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
Hunger,Knut Hamsun,"4.03 avg rating — 67,717 ratings",https://www.goodreads.com/book/show/32585.Hunger
A Portrait of the Artist as a Young Man,James Joyce,"3.65 avg rating — 167,503 ratings",https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man
Snow Crash,Neal Stephenson(Goodreads Author),"4.01 avg rating — 302,284 ratings",https://www.goodreads.com/book/show/830.Snow_Crash
Brighton Rock,Graham Greene,"3.69 avg rating — 37,246 ratings",https://www.goodreads.com/book/show/48862.Brighton_Rock
Memoirs of a Geisha,Arthur Golden,"4.16 avg rating — 2,137,418 ratings",https://www.goodreads.com/book/show/930.Memoirs_of_a_Geisha
Dead Souls,Nikolai Gogol,"3.98 avg rating — 99,597 ratings",https://www.goodreads.com/book/show/28381.Dead_Souls
