naslov,avtor,ocena_raw,povezava
The House of the Seven Gables,Nathaniel Hawthorne,"3.44 avg rating — 43,823 ratings",https://www.goodreads.com/book/show/90192.The_House_of_the_Seven_Gables
Call It Sleep,Henry Roth,"3.80 avg rating — 9,094 ratings",https://www.goodreads.com/book/show/366524.Call_It_Sleep
Fun Home: A Family Tragicomic,Alison Bechdel(Goodreads Author),"4.07 avg rating — 207,532 ratings",https://www.goodreads.com/book/show/38990.Fun_Home
"The L-Shaped Room (Jane Graham, #1)",Lynne Reid Banks,"3.96 avg rating — 3,685 ratings",https://www.goodreads.com/book/show/960246.The_L_Shaped_Room
Eugénie Grandet,Honoré de Balzac,"3.79 avg rating — 26,519 ratings",https://www.goodreads.com/book/show/59142.Eug_nie_Grandet
The Horse's Mouth,Joyce Cary,"3.97 avg rating — 1,656 ratings",https://www.goodreads.com/book/show/376465.The_Horse_s_Mouth
Sons and Lovers,D.H. Lawrence,"3.64 avg rating — 56,521 ratings",https://www.goodreads.com/book/show/32071.Sons_and_Lovers
Deliverance,James Dickey,"3.89 avg rating — 34,344 ratings",https://www.goodreads.com/book/show/592657.Deliverance
Darkness at Noon,Arthur Koestler,"4.12 avg rating — 34,812 ratings",https://www.goodreads.com/book/show/896408.Darkness_at_Noon
Cranford,Elizabeth Gaskell,"3.83 avg rating — 49,092 ratings",https://www.goodreads.com/book/show/182381.Cranford
Microserfs,Douglas Coupland(Goodreads Author),"3.89 avg rating — 24,723 ratings",https://www.goodreads.com/book/show/2748.Microserfs
Norwegian Wood,Haruki Murakami,"3.98 avg rating — 761,992 ratings",https://www.goodreads.com/book/show/818108.Norwegian_Wood
Death in Venice,Thomas Mann,"3.68 avg rating — 72,671 ratings",https://www.goodreads.com/book/show/53061.Death_in_Venice
"The Scar (New Crobuzon, #2)",China Miéville(Goodreads Author),"4.19 avg rating — 35,412 ratings",https://www.goodreads.com/book/show/68497.The_Scar
Remembering Babylon,David Malouf,"3.48 avg rating — 3,877 ratings",https://www.goodreads.com/book/show/827326.Remembering_Babylon
South Riding,Winifred Holtby,"3.99 avg rating — 3,477 ratings",https://www.goodreads.com/book/show/1016243.South_Riding
Breakfast of Champions,Kurt Vonnegut Jr.,"4.06 avg rating — 284,897 ratings",https://www.goodreads.com/book/show/4980.Breakfast_of_Champions
As I Lay Dying,William Faulkner,"3.72 avg rating — 192,715 ratings",https://www.goodreads.com/book/show/77013.As_I_Lay_Dying
"A Suitable Boy (A Bridge of Leaves, #1)",Vikram Seth,"4.11 avg rating — 50,750 ratings",https://www.goodreads.com/book/show/50365.A_Suitable_Boy
2062: A Future Vision,Emerson Littlefield(Goodreads Author),4.94 avg rating — 93 ratings,https://www.goodreads.com/book/show/250928961-2062
"The Human Stain (The American Trilogy, #3)",Philip Roth,"3.92 avg rating — 46,886 ratings",https://www.goodreads.com/book/show/11734.The_Human_Stain
The Bluest Eye,Toni Morrison,"4.14 avg rating — 317,183 ratings",https://www.goodreads.com/book/show/11337.The_Bluest_Eye
The Things They Carried,Tim O'Brien,"4.15 avg rating — 354,109 ratings",https://www.goodreads.com/book/show/133518.The_Things_They_Carried
Joseph Andrews / Shamela,Henry Fielding,"3.27 avg rating — 2,834 ratings",https://www.goodreads.com/book/show/110171.Joseph_Andrews_Shamela
Air,Geoff Ryman,"3.58 avg rating — 2,520 ratings",https://www.goodreads.com/book/show/206662.Air
Finnegans Wake,James Joyce,"3.68 avg rating — 13,857 ratings",https://www.goodreads.com/book/show/11013.Finnegans_Wake
"Memed, My Hawk (İnce Memed, #1)",Yaşar Kemal,"4.50 avg rating — 13,802 ratings",https://www.goodreads.com/book/show/175545.Memed_My_Hawk
The Sheltering Sky,Paul Bowles,"3.88 avg rating — 31,525 ratings",https://www.goodreads.com/book/show/243598.The_Sheltering_Sky
Love in a Cold Climate,Nancy Mitford,"3.81 avg rating — 10,593 ratings",https://www.goodreads.com/book/show/25977872-love-in-a-cold-climate
"An Infamous Army (Alastair-Audley, #4)",Georgette Heyer,"3.73 avg rating — 5,154 ratings",https://www.goodreads.com/book/show/311226.An_Infamous_Army
Behind the Scenes at the Museum,Kate Atkinson,"3.98 avg rating — 44,197 ratings",https://www.goodreads.com/book/show/28940.Behind_the_Scenes_at_the_Museum
Martin Chuzzlewit,Charles Dickens,"3.83 avg rating — 17,341 ratings",https://www.goodreads.com/book/show/1990.Martin_Chuzzlewit
Queen Lucia,E.F.  Benson,"3.91 avg rating — 5,494 ratings",https://www.goodreads.com/book/show/60079.Queen_Lucia
Fair Stood the Wind for France,H.E. Bates,"really liked it4.00 avg rating — 2,380 ratings",https://www.goodreads.com/book/show/2143538.Fair_Stood_the_Wind_for_France
An American Tragedy,Theodore Dreiser,"3.97 avg rating — 39,277 ratings",https://www.goodreads.com/book/show/331319.An_American_Tragedy
Tender is the Night,F. Scott Fitzgerald,"3.77 avg rating — 152,994 ratings",https://www.goodreads.com/book/show/35050615-tender-is-the-night
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,"3.67 avg rating — 10,201 ratings",https://www.goodreads.com/book/show/87580.The_Private_Memoirs_and_Confessions_of_a_Justified_Sinner
Shame,Salman Rushdie,"3.87 avg rating — 13,295 ratings",https://www.goodreads.com/book/show/4831.Shame
"Sunset Song (A Scots Quair, #1)",Lewis Grassic Gibbon,"4.01 avg rating — 5,674 ratings",https://www.goodreads.com/book/show/1203812.Sunset_Song
The Fountain Overflows,Rebecca West,"3.69 avg rating — 3,483 ratings",https://www.goodreads.com/book/show/103603.The_Fountain_Overflows
The First Discworld Novels: The Colour of Magic and the Light Fantastic,Terry Pratchett,"4.15 avg rating — 7,657 ratings",https://www.goodreads.com/book/show/64144.The_First_Discworld_Novels
U.S.A.: The 42nd Parallel / 1919 / The Big Money,John Dos Passos,"4.12 avg rating — 5,041 ratings",https://www.goodreads.com/book/show/261441.U_S_A_
Go Tell It on the Mountain,James Baldwin,"4.06 avg rating — 86,592 ratings",https://www.goodreads.com/book/show/17143.Go_Tell_It_on_the_Mountain
"A Princess of Mars (Barsoom, #1)",Edgar Rice Burroughs,"3.81 avg rating — 61,429 ratings",https://www.goodreads.com/book/show/40395.A_Princess_of_Mars
On Beauty,Zadie Smith,"3.79 avg rating — 93,214 ratings",https://www.goodreads.com/book/show/3679.On_Beauty
Uncle Silas,J. Sheridan Le Fanu,"3.74 avg rating — 7,359 ratings",https://www.goodreads.com/book/show/49190.Uncle_Silas
The Day of the Locust,Nathanael West,"3.69 avg rating — 24,656 ratings",https://www.goodreads.com/book/show/113441.The_Day_of_the_Locust
The Way of All Flesh,Samuel Butler,"3.61 avg rating — 9,824 ratings",https://www.goodreads.com/book/show/126512.The_Way_of_All_Flesh
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"4.28 avg rating — 314,123 ratings",https://www.goodreads.com/book/show/77566.Hyperion
Piccadilly Jim,P.G. Wodehouse,"4.04 avg rating — 5,494 ratings",https://www.goodreads.com/book/show/18077.Piccadilly_Jim
The Female Man,Joanna Russ,"3.46 avg rating — 9,335 ratings",https://www.goodreads.com/book/show/908311.The_Female_Man
Infinite Jest,David Foster Wallace,"4.25 avg rating — 104,854 ratings",https://www.goodreads.com/book/show/6759.Infinite_Jest
"The Mask of Dimitrios (Charles Latimer, #1)",Eric Ambler,"3.91 avg rating — 12,558 ratings",https://www.goodreads.com/book/show/46429.The_Mask_of_Dimitrios
Giovanni’s Room,James Baldwin,"4.34 avg rating — 287,261 ratings",https://www.goodreads.com/book/show/38462.Giovanni_s_Room
Underworld,Don DeLillo,"3.95 avg rating — 34,636 ratings",https://www.goodreads.com/book/show/11761.Underworld
Nights at the Circus,Angela Carter,"3.87 avg rating — 15,112 ratings",https://www.goodreads.com/book/show/653651.Nights_at_the_Circus
God's Bits of Wood,Ousmane Sembène,"3.99 avg rating — 3,205 ratings",https://www.goodreads.com/book/show/123748.God_s_Bits_of_Wood
The Balkan Trilogy,Olivia Manning,"4.17 avg rating — 3,047 ratings",https://www.goodreads.com/book/show/465697.The_Balkan_Trilogy
The Castle of Otranto,Horace Walpole,"3.19 avg rating — 45,000 ratings",https://www.goodreads.com/book/show/12923.The_Castle_of_Otranto
Ali and Nino,Kurban Said,"3.92 avg rating — 10,113 ratings",https://www.goodreads.com/book/show/474078.Ali_and_Nino
Berlin Alexanderplatz,Alfred Döblin,"3.84 avg rating — 11,668 ratings",https://www.goodreads.com/book/show/243381.Berlin_Alexanderplatz
My Ántonia,Willa Cather,"3.85 avg rating — 151,208 ratings",https://www.goodreads.com/book/show/6464746-my-ntonia
The Recognitions,William Gaddis,"4.21 avg rating — 6,597 ratings",https://www.goodreads.com/book/show/395058.The_Recognitions
Life and Fate,Vasily Grossman,"4.46 avg rating — 16,303 ratings",https://www.goodreads.com/book/show/88432.Life_and_Fate
The Professor's House,Willa Cather,"3.78 avg rating — 10,449 ratings",https://www.goodreads.com/book/show/48203.The_Professor_s_House
Billy Liar,Keith Waterhouse,"3.71 avg rating — 2,342 ratings",https://www.goodreads.com/book/show/578644.Billy_Liar
Cider with Rosie,Laurie Lee,"3.91 avg rating — 15,721 ratings",https://www.goodreads.com/book/show/292314.Cider_with_Rosie
Regency Buck,Georgette Heyer,"3.99 avg rating — 12,920 ratings",https://www.goodreads.com/book/show/2411950.Regency_Buck
The Awakening,Kate Chopin,"3.69 avg rating — 232,336 ratings",https://www.goodreads.com/book/show/58345.The_Awakening
Double Indemnity,James M. Cain,"4.05 avg rating — 29,277 ratings",https://www.goodreads.com/book/show/11036868-double-indemnity
"Whose Body?  (Lord Peter Wimsey, #1)",Dorothy L. Sayers,"3.82 avg rating — 63,063 ratings",https://www.goodreads.com/book/show/192893.Whose_Body_
Pig Tales,Marie Darrieussecq,"3.46 avg rating — 4,294 ratings",https://www.goodreads.com/book/show/767124.Pig_Tales
Lost Souls,Poppy Z. Brite(Goodreads Author),"3.90 avg rating — 19,321 ratings",https://www.goodreads.com/book/show/452244.Lost_Souls
Victory An Island Tale,Joseph Conrad,"3.84 avg rating — 4,375 ratings",https://www.goodreads.com/book/show/19007274-victory-an-island-tale
"King Solomon's Mines (Allan Quatermain, #1)",H. Rider Haggard,"3.79 avg rating — 53,580 ratings",https://www.goodreads.com/book/show/23814.King_Solomon_s_Mines
Music & Silence,Rose Tremain,"3.95 avg rating — 4,977 ratings",https://www.goodreads.com/book/show/6167.Music_Silence
The Accidental Tourist,Anne Tyler(Goodreads Author),"3.89 avg rating — 110,001 ratings",https://www.goodreads.com/book/show/60792.The_Accidental_Tourist
Pamela: Virtue Rewarded (Forgotten Books),T.W. Holderness,"2.75 avg rating — 13,922 ratings",https://www.goodreads.com/book/show/6712988-pamela
Malone Dies,Samuel Beckett,"3.85 avg rating — 6,057 ratings",https://www.goodreads.com/book/show/54042.Malone_Dies
Any Human Heart,William  Boyd,"4.28 avg rating — 28,502 ratings",https://www.goodreads.com/book/show/77866.Any_Human_Heart
Narcissus and Goldmund,Hermann Hesse,"4.22 avg rating — 75,495 ratings",https://www.goodreads.com/book/show/5954.Narcissus_and_Goldmund
Enigma,Robert   Harris(Goodreads Author),"3.91 avg rating — 19,287 ratings",https://www.goodreads.com/book/show/843989.Enigma
Affinity,Sarah Waters,"3.75 avg rating — 29,243 ratings",https://www.goodreads.com/book/show/72929.Affinity
The Snow Goose,Paul Gallico,"4.15 avg rating — 5,869 ratings",https://www.goodreads.com/book/show/529241.The_Snow_Goose
The Line of Beauty,Alan Hollinghurst,"3.78 avg rating — 33,014 ratings",https://www.goodreads.com/book/show/139087.The_Line_of_Beauty
A Dry White Season,André Brink,"4.07 avg rating — 4,534 ratings",https://www.goodreads.com/book/show/65249.A_Dry_White_Season
Crash,J.G. Ballard,"3.65 avg rating — 34,157 ratings",https://www.goodreads.com/book/show/70241.Crash
The Mandarins,Simone de Beauvoir,"4.20 avg rating — 6,706 ratings",https://www.goodreads.com/book/show/19528.The_Mandarins
Valley of the Dolls,Jacqueline Susann,"3.87 avg rating — 80,178 ratings",https://www.goodreads.com/book/show/50833.Valley_of_the_Dolls
The Holy Terrors,Jean Cocteau,"3.70 avg rating — 8,375 ratings",https://www.goodreads.com/book/show/80268.The_Holy_Terrors
A Far Cry from Kensington,Muriel Spark,"3.84 avg rating — 7,565 ratings",https://www.goodreads.com/book/show/69516.A_Far_Cry_from_Kensington
On the Road,Jack Kerouac,"3.61 avg rating — 457,472 ratings",https://www.goodreads.com/book/show/315233.On_the_Road
Before Lunch,Angela Thirkell,3.95 avg rating — 833 ratings,https://www.goodreads.com/book/show/16064714-before-lunch
The Lonely Passion of Judith Hearne,Brian Moore,"3.98 avg rating — 3,645 ratings",https://www.goodreads.com/book/show/782982.The_Lonely_Passion_of_Judith_Hearne
Family Matters,Rohinton Mistry,"4.04 avg rating — 24,909 ratings",https://www.goodreads.com/book/show/19661.Family_Matters
"The Pursuit of Love & Love in a Cold Climate (Radlett and Montdore, #1-2)",Nancy Mitford,"4.10 avg rating — 6,148 ratings",https://www.goodreads.com/book/show/50725.The_Pursuit_of_Love_Love_in_a_Cold_Climate
I Served the King of England,Bohumil Hrabal,"4.05 avg rating — 10,778 ratings",https://www.goodreads.com/book/show/148634.I_Served_the_King_of_England
The Grass is Singing,Doris Lessing,"3.83 avg rating — 15,651 ratings",https://www.goodreads.com/book/show/130115.The_Grass_is_Singing
"The Radetzky March (Von Trotta Family, #1)",Joseph Roth,"4.11 avg rating — 15,182 ratings",https://www.goodreads.com/book/show/54258.The_Radetzky_March
The African Queen,C.S. Forester,"really liked it4.00 avg rating — 9,449 ratings",https://www.goodreads.com/book/show/26113108-the-african-queen
The Loved One,Evelyn Waugh,"3.75 avg rating — 13,983 ratings",https://www.goodreads.com/book/show/6444178-the-loved-one
"Porterhouse Blue (Porterhouse Blue, #1)",Tom Sharpe,"3.82 avg rating — 5,052 ratings",https://www.goodreads.com/book/show/119714.Porterhouse_Blue
Light Years,James Salter,"4.01 avg rating — 8,694 ratings",https://www.goodreads.com/book/show/174622.Light_Years
Pudd'nhead Wilson,Mark Twain,"3.75 avg rating — 19,789 ratings",https://www.goodreads.com/book/show/682793.Pudd_nhead_Wilson
The Rector's Daughter,F.M. Mayor,3.73 avg rating — 906 ratings,https://www.goodreads.com/book/show/1220032.The_Rector_s_Daughter
Song of Solomon,Toni Morrison,"4.16 avg rating — 133,529 ratings",https://www.goodreads.com/book/show/11334.Song_of_Solomon
At Swim-Two-Birds,Flann O'Brien,"3.84 avg rating — 14,605 ratings",https://www.goodreads.com/book/show/97333.At_Swim_Two_Birds
"Sidetracked (Kurt Wallander, #5)",Henning Mankell,"4.08 avg rating — 25,575 ratings",https://www.goodreads.com/book/show/39796.Sidetracked
The Riddle of the Sands,Erskine Childers,"3.63 avg rating — 7,846 ratings",https://www.goodreads.com/book/show/406575.The_Riddle_of_the_Sands
Strangers on a Train,Patricia Highsmith,"3.72 avg rating — 40,078 ratings",https://www.goodreads.com/book/show/15677.Strangers_on_a_Train
The Gathering,Anne Enright,"3.15 avg rating — 26,964 ratings",https://www.goodreads.com/book/show/998133.The_Gathering
Martin Eden,Jack London,"4.48 avg rating — 58,389 ratings",https://www.goodreads.com/book/show/929782.Martin_Eden
Less Than Angels,Barbara Pym,"3.93 avg rating — 3,380 ratings",https://www.goodreads.com/book/show/587597.Less_Than_Angels
The Go-Between,L.P. Hartley,"4.02 avg rating — 15,787 ratings",https://www.goodreads.com/book/show/258079.The_Go_Between
Main Street,Sinclair Lewis,"3.78 avg rating — 27,164 ratings",https://www.goodreads.com/book/show/11376.Main_Street
"Something Fresh (Blandings Castle, #1)",P.G. Wodehouse,"4.12 avg rating — 13,353 ratings",https://www.goodreads.com/book/show/18025.Something_Fresh
In Search of Lost Time,Marcel Proust,"4.34 avg rating — 14,487 ratings",https://www.goodreads.com/book/show/18796.In_Search_of_Lost_Time
A Voyage to Arcturus,David  Lindsay,"3.53 avg rating — 4,121 ratings",https://www.goodreads.com/book/show/1064084.A_Voyage_to_Arcturus
The Passion,Jeanette Winterson,"4.11 avg rating — 27,278 ratings",https://www.goodreads.com/book/show/1056750.The_Passion
July's People,Nadine Gordimer,"3.51 avg rating — 8,506 ratings",https://www.goodreads.com/book/show/111050.July_s_People
"Darwin's Radio (Darwin's Radio, #1)",Greg Bear,"3.73 avg rating — 16,905 ratings",https://www.goodreads.com/book/show/64923.Darwin_s_Radio
The Hearing Trumpet,Leonora Carrington,"3.98 avg rating — 14,060 ratings",https://www.goodreads.com/book/show/46987.The_Hearing_Trumpet
The Diary of a Nobody,George Grossmith,"3.68 avg rating — 18,573 ratings",https://www.goodreads.com/book/show/10387039-the-diary-of-a-nobody
The Weather in the Streets,Rosamond Lehmann,"3.95 avg rating — 1,075 ratings",https://www.goodreads.com/book/show/1768393.The_Weather_in_the_Streets
Goodbye to Berlin,Christopher Isherwood,"3.93 avg rating — 23,758 ratings",https://www.goodreads.com/book/show/760702.Goodbye_to_Berlin
Green Mansions,William Henry Hudson,"3.68 avg rating — 3,383 ratings",https://www.goodreads.com/book/show/817019.Green_Mansions
"Revelation Space (The Inhibitor Sequence, #1)",Alastair Reynolds,"3.99 avg rating — 63,569 ratings",https://www.goodreads.com/book/show/89187.Revelation_Space
Moll Flanders,Daniel Defoe,"3.52 avg rating — 49,225 ratings",https://www.goodreads.com/book/show/38262.Moll_Flanders
"Flashman (The Flashman Papers, #1)",George MacDonald Fraser,"4.06 avg rating — 16,432 ratings",https://www.goodreads.com/book/show/15997610-flashman
"The Earthsea Quartet (Earthsea Cycle, #1-4)",Ursula K. Le Guin,"4.30 avg rating — 13,241 ratings",https://www.goodreads.com/book/show/68041.The_Earthsea_Quartet
"If Not Now, When?",Primo Levi,"4.23 avg rating — 4,249 ratings",https://www.goodreads.com/book/show/136096.If_Not_Now_When_
The Blue Flower,Penelope Fitzgerald,"3.44 avg rating — 6,866 ratings",https://www.goodreads.com/book/show/11728.The_Blue_Flower
Lord Jim,Joseph Conrad,"3.61 avg rating — 33,620 ratings",https://www.goodreads.com/book/show/12194.Lord_Jim
La Disparition,Georges Perec,"3.74 avg rating — 3,942 ratings",https://www.goodreads.com/book/show/28336.La_Disparition
The Ministry of Fear,Graham Greene,"3.78 avg rating — 7,887 ratings",https://www.goodreads.com/book/show/213653.The_Ministry_of_Fear
G.,John Berger,"3.72 avg rating — 5,127 ratings",https://www.goodreads.com/book/show/299813.G_
Absolute Beginners,Colin MacInnes,"3.61 avg rating — 2,341 ratings",https://www.goodreads.com/book/show/372556.Absolute_Beginners
The Posthumous Memoirs of Brás Cubas,Machado de Assis,"4.26 avg rating — 40,548 ratings",https://www.goodreads.com/book/show/87262.The_Posthumous_Memoirs_of_Br_s_Cubas
Confessions of Zeno,Italo Svevo,"3.77 avg rating — 33,851 ratings",https://www.goodreads.com/book/show/84743.Confessions_of_Zeno
Enemies: A Love Story,Isaac Bashevis Singer,"3.97 avg rating — 3,890 ratings",https://www.goodreads.com/book/show/25739.Enemies
Gentlemen Prefer Blondes,Anita Loos,"3.60 avg rating — 7,830 ratings",https://www.goodreads.com/book/show/512704.Gentlemen_Prefer_Blondes
Money,Martin Amis,"3.70 avg rating — 26,387 ratings",https://www.goodreads.com/book/show/18825.Money
The Pledge,Friedrich Dürrenmatt,"3.90 avg rating — 11,805 ratings",https://www.goodreads.com/book/show/73480.The_Pledge
The Guns of Navarone,Alistair MacLean,"4.14 avg rating — 19,895 ratings",https://www.goodreads.com/book/show/296298.The_Guns_of_Navarone
News from Nowhere,William Morris,"3.29 avg rating — 2,870 ratings",https://www.goodreads.com/book/show/189746.News_from_Nowhere
Star Maker,Olaf Stapledon,"3.90 avg rating — 9,738 ratings",https://www.goodreads.com/book/show/525304.Star_Maker
"Burmese Days: A Searing Historical Fiction Classic on British Imperialism, Friendship, and Moral Conflict in 1920s Burma",George Orwell,"3.87 avg rating — 33,642 ratings",https://www.goodreads.com/book/show/10049504-burmese-days
"Blacklist (V.I. Warshawski, #11)",Sara Paretsky(Goodreads Author),"3.86 avg rating — 5,059 ratings",https://www.goodreads.com/book/show/29210692-blacklist
The Information,Martin Amis,"3.60 avg rating — 6,615 ratings",https://www.goodreads.com/book/show/380017.The_Information
The Unfortunates,B.S. Johnson,"3.86 avg rating — 1,170 ratings",https://www.goodreads.com/book/show/90992.The_Unfortunates
In the Country of Last Things,Paul Auster,"3.90 avg rating — 16,552 ratings",https://www.goodreads.com/book/show/19486.In_the_Country_of_Last_Things
"How Late It Was, How Late",James Kelman,"3.60 avg rating — 4,831 ratings",https://www.goodreads.com/book/show/89208.How_Late_It_Was_How_Late
The Famished Road,Ben Okri,"3.73 avg rating — 13,826 ratings",https://www.goodreads.com/book/show/101094.The_Famished_Road
"The Space Merchants (The Space Merchants, #1)",Frederik Pohl,"3.83 avg rating — 11,495 ratings",https://www.goodreads.com/book/show/392566.The_Space_Merchants
Dom Casmurro,Machado de Assis,"4.33 avg rating — 40,027 ratings",https://www.goodreads.com/book/show/24793146-dom-casmurro
Thérèse Raquin,Émile Zola,"3.73 avg rating — 40,423 ratings",https://www.goodreads.com/book/show/13618618-th-r-se-raquin
The Years of Rice and Salt,Kim Stanley Robinson,"3.77 avg rating — 15,941 ratings",https://www.goodreads.com/book/show/2723.The_Years_of_Rice_and_Salt
Cryptonomicon,Neal Stephenson(Goodreads Author),"4.23 avg rating — 118,238 ratings",https://www.goodreads.com/book/show/816.Cryptonomicon
"Silence of the Grave (Inspector Erlendur, #4)",Arnaldur Indriðason,"3.96 avg rating — 22,157 ratings",https://www.goodreads.com/book/show/82991.Silence_of_the_Grave
"Cop Hater (87th Precinct, #1)",Ed McBain,"3.83 avg rating — 8,940 ratings",https://www.goodreads.com/book/show/17620894-cop-hater
Chéri,Colette,"3.66 avg rating — 6,788 ratings",https://www.goodreads.com/book/show/22468394-ch-ri
The Good Soldier Švejk,Jaroslav Hašek,"4.09 avg rating — 21,640 ratings",https://www.goodreads.com/book/show/7629.The_Good_Soldier_vejk
The History Man,Malcolm Bradbury,"3.61 avg rating — 2,111 ratings",https://www.goodreads.com/book/show/458624.The_History_Man
A Kind of Loving,Stan Barstow,"4.09 avg rating — 1,606 ratings",https://www.goodreads.com/book/show/2727751-a-kind-of-loving
Gravity’s Rainbow,Thomas Pynchon,"4.02 avg rating — 49,793 ratings",https://www.goodreads.com/book/show/415.Gravity_s_Rainbow
The Secret Adversary,Agatha Christie,"3.84 avg rating — 73,707 ratings",https://www.goodreads.com/book/show/49597.The_Secret_Adversary
The Diary of a Provincial Lady,E.M. Delafield,"3.90 avg rating — 6,843 ratings",https://www.goodreads.com/book/show/25486112-the-diary-of-a-provincial-lady
The Prestige,Christopher Priest,"3.92 avg rating — 25,348 ratings",https://www.goodreads.com/book/show/239239.The_Prestige
Saturday Night and Sunday Morning,Alan Sillitoe,"3.80 avg rating — 5,660 ratings",https://www.goodreads.com/book/show/72676.Saturday_Night_and_Sunday_Morning
The Virginian,Owen Wister,"3.92 avg rating — 10,280 ratings",https://www.goodreads.com/book/show/169751.The_Virginian
Charade,John Mortimer,3.10 avg rating — 111 ratings,https://www.goodreads.com/book/show/54414.Charade
Play It As It Lays,Joan Didion,"3.90 avg rating — 97,948 ratings",https://www.goodreads.com/book/show/428.Play_It_As_It_Lays
The Rings of Saturn,W.G. Sebald,"4.22 avg rating — 18,598 ratings",https://www.goodreads.com/book/show/434903.The_Rings_of_Saturn
Non-Stop,Brian W. Aldiss,"3.88 avg rating — 7,867 ratings",https://www.goodreads.com/book/show/384579.Non_Stop
Nostromo,Joseph Conrad,"3.82 avg rating — 18,269 ratings",https://www.goodreads.com/book/show/115476.Nostromo
Villette,Charlotte Brontë,"3.78 avg rating — 83,679 ratings",https://www.goodreads.com/book/show/28416570-villette
Red Harvest (The Continental Op #1),Dashiell Hammett,"3.94 avg rating — 30,569 ratings",https://www.goodreads.com/book/show/30005.Red_Harvest
Nightmare Abbey,Thomas Love Peacock,"3.44 avg rating — 2,100 ratings",https://www.goodreads.com/book/show/1275404.Nightmare_Abbey
Gargantua and Pantagruel,François Rabelais,"3.65 avg rating — 16,475 ratings",https://www.goodreads.com/book/show/18266.Gargantua_and_Pantagruel
Lorna Doone: A Romance of Exmoor,R.D. Blackmore,"3.73 avg rating — 16,590 ratings",https://www.goodreads.com/book/show/10959902-lorna-doone
Loitering with Intent,Muriel Spark,"3.79 avg rating — 5,614 ratings",https://www.goodreads.com/book/show/58677.Loitering_with_Intent
"Exit Music (Inspector Rebus, #17)",Ian Rankin(Goodreads Author),"4.13 avg rating — 18,569 ratings",https://www.goodreads.com/book/show/1845403.Exit_Music
Mary Barton,Elizabeth Gaskell,"3.75 avg rating — 21,925 ratings",https://www.goodreads.com/book/show/11066361-mary-barton
The Glass Key,Dashiell Hammett,"3.92 avg rating — 14,015 ratings",https://www.goodreads.com/book/show/761573.The_Glass_Key
Moo,Jane Smiley(Goodreads Author),"3.47 avg rating — 8,652 ratings",https://www.goodreads.com/book/show/4605.Moo
"Cover Her Face (Adam Dalgliesh, #1)",P.D. James,"3.90 avg rating — 43,054 ratings",https://www.goodreads.com/book/show/3066135-cover-her-face
Hideous Kinky,Esther Freud,"3.53 avg rating — 4,316 ratings",https://www.goodreads.com/book/show/283787.Hideous_Kinky
"The Man of Property (The Forsyte Chronicles, #1)",John Galsworthy,"really liked it4.00 avg rating — 5,572 ratings",https://www.goodreads.com/book/show/12375286-the-man-of-property
The Mysterious Stranger,Mark Twain,"4.12 avg rating — 12,013 ratings",https://www.goodreads.com/book/show/102564.The_Mysterious_Stranger
Lark Rise to Candleford,Flora Thompson,"4.02 avg rating — 5,082 ratings",https://www.goodreads.com/book/show/511208.Lark_Rise_to_Candleford
Alberta and Jacob,Cora Sandel,3.94 avg rating — 960 ratings,https://www.goodreads.com/book/show/1853673.Alberta_and_Jacob
Lady Audley's Secret,Mary Elizabeth Braddon,"3.79 avg rating — 27,206 ratings",https://www.goodreads.com/book/show/21845462-lady-audley-s-secret
The Swiss Family Robinson,Johann David Wyss,"3.91 avg rating — 111,027 ratings",https://www.goodreads.com/book/show/62111.The_Swiss_Family_Robinson
Auto-da-Fé,Elias Canetti,"4.01 avg rating — 6,963 ratings",https://www.goodreads.com/book/show/205189.Auto_da_F_
Invitation to the Waltz,Rosamond Lehmann,"3.88 avg rating — 1,547 ratings",https://www.goodreads.com/book/show/1477344.Invitation_to_the_Waltz
The Vicar of Wakefield,Oliver Goldsmith,"3.46 avg rating — 10,866 ratings",https://www.goodreads.com/book/show/18871293-the-vicar-of-wakefield
"The Tin Roof Blowdown (Dave Robicheaux, #16)",James Lee Burke,"4.19 avg rating — 15,401 ratings",https://www.goodreads.com/book/show/1112675.The_Tin_Roof_Blowdown
"The Three Coffins (Dr. Gideon Fell, #6)",John Dickson Carr,"3.75 avg rating — 5,429 ratings",https://www.goodreads.com/book/show/498490.The_Three_Coffins
The Savage Detectives,Roberto Bolaño,"4.18 avg rating — 55,429 ratings",https://www.goodreads.com/book/show/63033.The_Savage_Detectives
Under the Volcano,Malcolm Lowry,"3.76 avg rating — 27,439 ratings",https://www.goodreads.com/book/show/31072.Under_the_Volcano
Rogue Male,Geoffrey Household,"3.92 avg rating — 5,988 ratings",https://www.goodreads.com/book/show/29389486-rogue-male
"Dance Hall of the Dead (Navajo Mysteries, #2)",Tony Hillerman,"4.06 avg rating — 20,531 ratings",https://www.goodreads.com/book/show/530550.Dance_Hall_of_the_Dead
La Débâcle,Émile Zola,"4.03 avg rating — 1,960 ratings",https://www.goodreads.com/book/show/28419.La_D_b_cle
"Augustus Carp, Esq. by Himself, Being the Autobiography of a Really Good Man",Henry Howarth Bashford,3.80 avg rating — 647 ratings,https://www.goodreads.com/book/show/837278.Augustus_Carp_Esq_by_Himself_Being_the_Autobiography_of_a_Really_Good_Man
